date,adjusted_close
2020-03-02,72.5149
2020-03-03,70.2119
2020-03-04,73.4687
2020-03-05,71.0855
2020-03-06,70.1415
2020-03-09,64.5939
2020-03-10,69.246
2020-03-11,66.8411
2020-03-12,60.2402
2020-03-13,67.4575
2020-03-16,58.7793
2020-03-17,61.3638
2020-03-18,59.8616
2020-03-19,59.403
2020-03-20,55.6317
2020-03-23,54.4499
2020-03-24,59.9126
2020-03-25,59.5826
2020-03-26,62.718
2020-03-27,60.1213
2020-03-30,61.837
2020-03-31,61.7109
2020-04-01,58.4638
2020-04-02,59.4394
2020-04-03,58.5851
2020-04-06,63.696
2020-04-07,62.9582
2020-04-08,64.5696
2020-04-09,65.0356
2020-04-13,66.312
2020-04-14,69.661
2020-04-15,69.0252
2020-04-16,69.5737
2020-04-17,68.6296
2020-04-20,67.2051
2020-04-21,65.1278
2020-04-22,67.0037
2020-04-23,66.744
2020-04-24,68.6709
2020-04-27,68.7194
2020-04-28,67.6055
2020-04-29,69.826
2020-04-30,71.2991
2020-05-01,70.1512
2020-05-04,71.1438
2020-05-05,72.2116
2020-05-06,72.9566
2020-05-07,73.7113
2020-05-08,75.4658
2020-05-11,76.6533
2020-05-12,75.7773
2020-05-13,74.8623
2020-05-14,75.3222
2020-05-15,74.8769
2020-05-18,76.6411
2020-05-19,76.1982
2020-05-20,77.6801
2020-05-21,77.101
2020-05-22,77.5974
2020-05-26,77.0718
2020-05-27,77.4076
2020-05-28,77.4417
2020-05-29,77.3662
2020-06-01,78.3177
2020-06-02,78.6803
2020-06-03,79.1134
2020-06-04,78.432
2020-06-05,80.6659
2020-06-08,81.1428
2020-06-09,83.7051
2020-06-10,85.8587
2020-06-11,81.7365
2020-06-12,82.4422
2020-06-15,83.4618
2020-06-16,85.6737
2020-06-17,85.5545
2020-06-18,85.5886
2020-06-19,85.0995
2020-06-22,87.326
2020-06-23,89.1899
2020-06-24,87.6155
2020-06-25,88.7787
2020-06-26,86.0509
2020-06-29,88.0341
2020-06-30,88.769
2020-07-01,88.6011
2020-07-02,88.6011
2020-07-06,90.9711
2020-07-07,90.6889
2020-07-08,92.801
2020-07-09,93.2001
2020-07-10,93.3631
2020-07-13,92.9324
2020-07-14,94.4703
2020-07-15,95.12
2020-07-16,93.9496
2020-07-17,93.7598
2020-07-20,95.7357
2020-07-21,94.4144
2020-07-22,94.6796
2020-07-23,90.3701
2020-07-24,90.1462
2020-07-27,92.2827
2020-07-28,90.7667
2020-07-29,92.5066
2020-07-30,93.6259
2020-07-31,103.4275
2020-08-03,106.0336
2020-08-04,106.7418
2020-08-05,107.1287
2020-08-06,110.8663
2020-08-07,108.3457
2020-08-10,109.9205
2020-08-11,106.6514
2020-08-12,110.1959
2020-08-13,112.1461
2020-08-14,112.0462
2020-08-17,111.7536
2020-08-18,112.6849
2020-08-19,112.8262
2020-08-20,115.3298
2020-08-21,121.273
2020-08-24,122.7235
2020-08-25,121.7167
2020-08-26,123.3719
2020-08-27,121.8971
2020-08-28,121.6996
2020-08-31,125.8268
2020-09-01,130.8388
2020-09-02,128.128
2020-09-03,117.8699
2020-09-04,117.948
2020-09-08,110.0106
2020-09-09,114.3986
2020-09-10,110.664
2020-09-11,109.2111
2020-09-14,112.4874
2020-09-15,112.6629
2020-09-16,109.3378
2020-09-17,107.5924
2020-09-18,104.1796
2020-09-21,107.3389
2020-09-22,109.0258
2020-09-23,104.4526
2020-09-24,105.5252
2020-09-25,109.4841
2020-09-28,112.0974
2020-09-29,111.249
2020-09-30,112.9262
2020-10-01,113.8818
2020-10-02,110.2057
2020-10-05,113.599
2020-10-06,110.3422
2020-10-07,112.2144
2020-10-08,112.1071
2020-10-09,114.0573
2020-10-12,121.3023
2020-10-13,118.0845
2020-10-14,118.1722
2020-10-15,117.7042
2020-10-16,116.0563
2020-10-19,113.092
2020-10-20,114.5839
2020-10-21,113.9598
2020-10-22,112.8677
2020-10-23,112.1754
2020-10-26,112.1851
2020-10-27,113.6965
2020-10-28,108.431
2020-10-29,112.4484
2020-10-30,106.1493
2020-11-02,106.0615
2020-11-03,107.6899
2020-11-04,112.0876
2020-11-05,116.066
2020-11-06,115.9341
2020-11-09,113.6192
2020-11-10,113.2773
2020-11-11,116.7156
2020-11-12,116.4421
2020-11-13,116.4909
2020-11-16,117.5068
2020-11-17,116.6179
2020-11-18,115.2895
2020-11-19,115.8853
2020-11-20,114.6155
2020-11-23,111.2065
2020-11-24,112.4959
2020-11-25,113.3359
2020-11-27,113.8829
2020-11-30,116.2858
2020-12-01,119.8706
2020-12-02,120.2222
2020-12-03,120.0855
2020-12-04,119.4115
2020-12-07,120.8767
2020-12-08,121.492
2020-12-09,118.9524
2020-12-10,120.3785
2020-12-11,119.5678
2020-12-14,118.9524
2020-12-15,124.9108
2020-12-16,124.8424
2020-12-17,125.7117
2020-12-18,123.7191
2020-12-21,125.2526
2020-12-22,128.8179
2020-12-23,127.9193
2020-12-24,128.9058
2020-12-28,133.5162
2020-12-29,131.7385
2020-12-30,130.6152
2020-12-31,129.6091
2021-01-04,126.4052
2021-01-05,127.9681
2021-01-06,123.6605
2021-01-07,127.8802
2021-01-08,128.9839
2021-01-11,125.9852
2021-01-12,125.8094
2021-01-13,127.8509
2021-01-14,125.9168
2021-01-15,124.1879
2021-01-19,124.8619
2021-01-20,128.9644
2021-01-21,133.692
2021-01-22,135.8409
2021-01-25,139.6016
2021-01-26,139.836
2021-01-27,138.7615
2021-01-28,133.9069
2021-01-29,128.896
2021-02-01,131.0254
2021-02-02,131.8557
2021-02-03,130.8301
2021-02-04,134.2
2021-02-05,133.7842
2021-02-08,133.9309
2021-02-09,133.0505
2021-02-10,132.444
2021-02-11,132.1897
2021-02-12,132.4244
2021-02-16,130.2919
2021-02-17,127.993
2021-02-18,126.8876
2021-02-19,127.0441
2021-02-22,123.2583
2021-02-23,123.1214
2021-02-24,122.6225
2021-02-25,118.3573
2021-02-26,118.6215
2021-03-01,125.0094
2021-03-02,122.3975
2021-03-03,119.4041
2021-03-04,117.5161
2021-03-05,118.778
2021-03-08,113.8281
2021-03-09,118.4552
2021-03-10,117.3693
2021-03-11,119.3062
2021-03-12,118.3965
2021-03-15,121.2921
2021-03-16,122.8377
2021-03-17,122.0453
2021-03-18,117.9074
2021-03-19,117.3791
2021-03-22,120.7051
2021-03-23,119.8736
2021-03-24,117.4769
2021-03-25,117.966
2021-03-26,118.5726
2021-03-29,118.7486
2021-03-30,117.2911
2021-03-31,119.4921
2021-04-01,120.3236
2021-04-05,123.1605
2021-04-06,123.4638
2021-04-07,125.117
2021-04-08,127.5235
2021-04-09,130.106
2021-04-12,128.3843
2021-04-13,131.5049
2021-04-14,129.1571
2021-04-15,131.5734
2021-04-16,131.2408
2021-04-19,131.906
2021-04-20,130.2136
2021-04-21,130.5951
2021-04-22,129.0691
2021-04-23,131.3973
2021-04-26,131.7886
2021-04-27,131.4658
2021-04-28,130.6734
2021-04-29,130.5756
2021-04-30,128.5995
2021-05-03,129.656
2021-05-04,125.0681
2021-05-05,125.3126
2021-05-06,126.917
2021-05-07,127.5931
2021-05-10,124.3006
2021-05-11,123.3795
2021-05-12,120.3026
2021-05-13,122.4584
2021-05-14,124.8886
2021-05-17,123.7323
2021-05-18,122.3408
2021-05-19,122.184
2021-05-20,124.7514
2021-05-21,122.9092
2021-05-24,124.5456
2021-05-25,124.3496
2021-05-26,124.3006
2021-05-27,122.7622
2021-05-28,122.1056
2021-06-01,121.7823
2021-06-02,122.5466
2021-06-03,121.0571
2021-06-04,123.3599
2021-06-07,123.3697
2021-06-08,124.1928
2021-06-09,124.575
2021-06-10,123.5755
2021-06-11,124.7906
2021-06-14,127.8577
2021-06-15,127.0345
2021-06-16,127.5343
2021-06-17,129.1413
2021-06-18,127.8381
2021-06-21,129.6411
2021-06-22,131.2873
2021-06-23,131.0129
2021-06-24,130.7288
2021-06-25,130.4348
2021-06-28,132.0712
2021-06-29,133.5901
2021-06-30,134.2074
2021-07-01,134.5112
2021-07-02,137.1471
2021-07-06,139.1657
2021-07-07,141.6645
2021-07-08,140.3612
2021-07-09,142.1936
2021-07-12,141.5959
2021-07-13,142.713
2021-07-14,146.1524
2021-07-15,145.4959
2021-07-16,143.4479
2021-07-19,139.5871
2021-07-20,143.2127
2021-07-21,142.4778
2021-07-22,143.8497
2021-07-23,145.5743
2021-07-26,145.9956
2021-07-27,143.8203
2021-07-28,142.0662
2021-07-29,142.713
2021-07-30,142.9286
2021-08-02,142.5954
2021-08-03,144.3984
2021-08-04,143.9966
2021-08-05,144.1044
2021-08-06,143.4175
2021-08-09,143.3684
2021-08-10,142.8875
2021-08-11,143.1427
2021-08-12,146.1162
2021-08-13,146.3223
2021-08-16,148.3047
2021-08-17,147.392
2021-08-18,143.6334
2021-08-19,143.967
2021-08-20,145.4293
2021-08-23,146.921
2021-08-24,146.8326
2021-08-25,145.5961
2021-08-26,144.7914
2021-08-27,145.8316
2021-08-30,150.2674
2021-08-31,149.0015
2021-09-01,149.6688
2021-09-02,150.7876
2021-09-03,151.4255
2021-09-07,153.7709
2021-09-08,152.2204
2021-09-09,151.1997
2021-09-10,146.1948
2021-09-13,146.764
2021-09-14,145.3606
2021-09-15,146.2536
2021-09-16,146.0181
2021-09-17,143.339
2021-09-20,140.2771
2021-09-21,140.758
2021-09-22,143.1329
2021-09-23,144.0946
2021-09-24,144.1829
2021-09-27,142.6618
2021-09-28,139.2663
2021-09-29,140.1691
2021-09-30,138.8639
2021-10-01,139.9925
2021-10-04,136.5479
2021-10-05,138.4812
2021-10-06,139.3546
2021-10-07,140.6206
2021-10-08,140.2378
2021-10-11,140.1495
2021-10-12,138.8737
2021-10-13,138.2849
2021-10-14,141.0818
2021-10-15,142.1417
2021-10-18,143.8198
2021-10-19,145.9887
2021-10-20,146.4794
2021-10-21,146.6953
2021-10-22,145.92
2021-10-25,145.8709
2021-10-26,146.5382
2021-10-27,146.077
2021-10-28,149.7277
2021-10-29,147.0093
2021-11-01,146.1849
2021-11-02,147.2252
2021-11-03,148.6678
2021-11-04,148.1477
2021-11-05,148.6784
2021-11-08,147.8528
2021-11-09,148.2165
2021-11-10,145.3762
2021-11-11,145.327
2021-11-12,147.4106
2021-11-15,147.4204
2021-11-16,148.4032
2021-11-17,150.8504
2021-11-18,155.1551
2021-11-19,157.789
2021-11-22,158.2509
2021-11-23,158.6342
2021-11-24,159.1551
2021-11-26,154.1133
2021-11-29,157.4843
2021-11-30,162.4573
2021-12-01,161.9364
2021-12-02,160.9438
2021-12-03,159.0568
2021-12-06,162.4769
2021-12-07,168.2362
2021-12-08,172.0691
2021-12-09,171.558
2021-12-10,176.364
2021-12-13,172.7178
2021-12-14,171.332
2021-12-15,176.2165
2021-12-16,169.2976
2021-12-17,168.1969
2021-12-20,166.8308
2021-12-21,170.015
2021-12-22,172.6195
2021-12-23,173.2485
2021-12-27,177.2288
2021-12-28,176.2067
2021-12-29,176.2952
2021-12-30,175.1354
2021-12-31,174.5163
2022-01-03,178.8799
2022-01-04,176.6097
2022-01-05,171.9119
2022-01-06,169.0421
2022-01-07,169.2091
2022-01-10,169.2288
2022-01-11,172.0691
2022-01-12,172.5114
2022-01-13,169.2288
2022-01-14,170.0937
2022-01-18,166.8799
2022-01-19,163.3713
2022-01-20,161.6809
2022-01-21,159.617
2022-01-24,158.8406
2022-01-25,157.0322
2022-01-26,156.9438
2022-01-27,156.4819
2022-01-28,167.4008
2022-01-31,171.7743
2022-02-01,171.6072
2022-02-02,172.816
2022-02-03,169.9266
2022-02-04,169.6412
2022-02-07,168.9229
2022-02-08,172.0423
2022-02-09,173.4692
2022-02-10,169.3755
2022-02-11,165.951
2022-02-14,166.1872
2022-02-15,170.0348
2022-02-16,169.7987
2022-02-17,166.1872
2022-02-18,164.6324
2022-02-22,161.6999
2022-02-23,157.5177
2022-02-24,160.1451
2022-02-25,162.2214
2022-02-28,162.4871
2022-03-01,160.5978
2022-03-02,163.9042
2022-03-03,163.5794
2022-03-04,160.5682
2022-03-07,156.7599
2022-03-08,154.9296
2022-03-09,160.3517
2022-03-10,155.9924
2022-03-11,152.2628
2022-03-14,148.2183
2022-03-15,152.6171
2022-03-16,157.0453
2022-03-17,158.0589
2022-03-18,161.3653
2022-03-21,162.743
2022-03-22,166.1281
2022-03-23,167.496
2022-03-24,171.2944
2022-03-25,171.9341
2022-03-28,172.8
2022-03-29,176.1065
2022-03-30,174.9354
2022-03-31,171.8258
2022-04-01,171.5306
2022-04-04,175.5947
2022-04-05,172.2686
2022-04-06,169.0901
2022-04-07,169.3952
2022-04-08,167.3779
2022-04-11,163.1071
2022-04-12,164.9866
2022-04-13,167.6829
2022-04-14,162.6544
2022-04-18,162.4379
2022-04-19,164.7308
2022-04-20,164.5635
2022-04-21,163.7664
2022-04-22,159.2102
2022-04-25,160.2829
2022-04-26,154.2998
2022-04-27,154.0735
2022-04-28,161.0307
2022-04-29,155.1362
2022-05-02,155.4413
2022-05-03,156.9371
2022-05-04,163.3728
2022-05-05,154.2703
2022-05-06,154.9996
2022-05-09,149.8552
2022-05-10,152.2697
2022-05-11,144.3759
2022-05-12,140.493
2022-05-13,144.977
2022-05-16,143.4298
2022-05-17,147.0761
2022-05-18,138.7782
2022-05-19,135.3585
2022-05-20,135.595
2022-05-23,141.035
2022-05-24,138.3249
2022-05-25,138.4826
2022-05-26,141.6953
2022-05-27,147.4703
2022-05-31,146.6819
2022-06-01,146.5538
2022-06-02,149.0176
2022-06-03,143.2721
2022-06-06,144.0211
2022-06-07,146.5538
2022-06-08,145.8147
2022-06-09,140.5718
2022-06-10,135.1417
2022-06-13,129.9678
2022-06-14,130.8351
2022-06-15,133.4664
2022-06-16,128.1742
2022-06-17,129.6525
2022-06-21,133.9
2022-06-22,133.3875
2022-06-23,136.2652
2022-06-24,139.606
2022-06-27,139.606
2022-06-28,135.4472
2022-06-29,137.2113
2022-06-30,134.7377
2022-07-01,136.9156
2022-07-05,139.5075
2022-07-06,140.8478
2022-07-07,144.228
2022-07-08,144.908
2022-07-11,142.7695
2022-07-12,143.7451
2022-07-13,143.3805
2022-07-14,146.3173
2022-07-15,147.9926
2022-07-18,144.9376
2022-07-19,148.8106
2022-07-20,150.821
2022-07-21,153.0975
2022-07-22,151.8558
2022-07-25,150.7323
2022-07-26,149.4019
2022-07-27,154.5167
2022-07-28,155.0685
2022-07-29,160.1537
2022-08-01,159.1682
2022-08-02,157.69
2022-08-03,163.7212
2022-08-04,163.4059
2022-08-05,163.1789
2022-08-08,162.7052
2022-08-09,162.7545
2022-08-10,167.0178
2022-08-11,166.2777
2022-08-12,169.8403
2022-08-15,170.9159
2022-08-16,170.7581
2022-08-17,172.2581
2022-08-18,171.8633
2022-08-19,169.2679
2022-08-22,165.3697
2022-08-23,165.0342
2022-08-24,165.3303
2022-08-25,167.7974
2022-08-26,161.4716
2022-08-29,159.261
2022-08-30,156.8235
2022-08-31,155.1556
2022-09-01,155.8859
2022-09-02,153.7642
2022-09-06,152.501
2022-09-07,153.9122
2022-09-08,152.4319
2022-09-09,155.3037
2022-09-12,161.2841
2022-09-13,151.82
2022-09-14,153.2707
2022-09-15,150.3693
2022-09-16,148.7213
2022-09-19,152.4516
2022-09-20,154.8398
2022-09-21,151.7016
2022-09-22,150.7345
2022-09-23,148.4548
2022-09-26,148.7903
2022-09-27,149.7673
2022-09-28,147.8725
2022-09-29,140.6092
2022-09-30,136.3854
2022-10-03,140.5796
2022-10-04,144.1817
2022-10-05,144.4777
2022-10-06,143.5204
2022-10-07,138.2506
2022-10-10,138.5762
2022-10-11,137.1551
2022-10-12,136.5235
2022-10-13,141.1125
2022-10-14,136.563
2022-10-17,140.5401
2022-10-18,141.8625
2022-10-19,141.9711
2022-10-20,141.5072
2022-10-21,145.3363
2022-10-24,147.4877
2022-10-25,150.3397
2022-10-26,147.389
2022-10-27,142.8987
2022-10-28,153.6951
2022-10-31,151.3266
2022-11-01,148.6719
2022-11-02,143.1257
2022-11-03,137.0565
2022-11-04,136.7896
2022-11-07,137.3233
2022-11-08,137.8967
2022-11-09,133.3199
2022-11-10,145.182
2022-11-11,147.9795
2022-11-14,146.5758
2022-11-15,148.3155
2022-11-16,147.0799
2022-11-17,148.9877
2022-11-18,149.5512
2022-11-21,146.3089
2022-11-22,148.4539
2022-11-23,149.3337
2022-11-25,146.4077
2022-11-28,142.5624
2022-11-29,139.5475
2022-11-30,146.3286
2022-12-01,146.6054
2022-12-02,146.1112
2022-12-05,144.9447
2022-12-06,141.2675
2022-12-07,139.3201
2022-12-08,141.0105
2022-12-09,140.5261
2022-12-12,142.8293
2022-12-13,143.7981
2022-12-14,141.564
2022-12-15,134.9312
2022-12-16,132.964
2022-12-19,130.8486
2022-12-20,130.7794
2022-12-21,133.8932
2022-12-22,130.7102
2022-12-23,130.3445
2022-12-27,128.5355
2022-12-28,124.5914
2022-12-29,128.1204
2022-12-30,128.4367
2023-01-03,123.6325
2023-01-04,124.9077
2023-01-05,123.5831
2023-01-06,128.1302
2023-01-09,128.6541
2023-01-10,129.2275
2023-01-11,131.9558
2023-01-12,131.8767
2023-01-13,133.2112
2023-01-17,134.3776
2023-01-18,133.656
2023-01-19,133.7153
2023-01-20,136.2854
2023-01-23,139.4882
2023-01-24,140.8919
2023-01-25,140.2296
2023-01-26,142.3054
2023-01-27,144.2528
2023-01-30,141.3565
2023-01-31,142.6316
2023-02-01,143.7585
2023-02-02,149.0866
2023-02-03,152.7243
2023-02-06,149.9861
2023-02-07,152.8726
2023-02-08,150.1739
2023-02-09,149.136
2023-02-10,149.5023
2023-02-13,152.314
2023-02-14,151.6704
2023-02-15,153.7792
2023-02-16,152.1754
2023-02-17,151.0269
2023-02-21,146.9976
2023-02-22,147.4233
2023-02-23,147.9084
2023-02-24,145.2452
2023-02-27,146.4432
2023-02-28,145.9383
2023-03-01,143.8592
2023-03-02,144.4532
2023-03-03,149.5221
2023-03-06,152.2942
2023-03-07,150.0864
2023-03-08,151.3437
2023-03-09,149.0865
2023-03-10,147.0174
2023-03-13,148.9677
2023-03-14,151.0665
2023-03-15,151.4625
2023-03-16,154.294
2023-03-17,153.4525
2023-03-20,155.8285
2023-03-21,157.6897
2023-03-22,156.2542
2023-03-23,157.3432
2023-03-24,158.6501
2023-03-27,156.6997
2023-03-28,156.076
2023-03-29,159.1649
2023-03-30,160.739
2023-03-31,163.2536
2023-04-03,164.511
2023-04-04,163.9763
2023-04-05,162.125
2023-04-06,163.016
2023-04-10,160.4123
2023-04-11,159.1946
2023-04-12,158.5016
2023-04-13,163.907
2023-04-14,163.5605
2023-04-17,163.5803
2023-04-18,164.808
2023-04-19,165.9564
2023-04-20,164.9862
2023-04-21,163.3724
2023-04-24,163.6793
2023-04-25,162.1349
2023-04-26,162.125
2023-04-27,166.7286
2023-04-28,167.9859
2023-05-01,167.8968
2023-05-02,166.8573
2023-05-03,165.7782
2023-05-04,164.1347
2023-05-05,171.8371
2023-05-08,171.7678
2023-05-09,170.055
2023-05-10,171.8272
2023-05-11,172.0153
2023-05-12,171.0834
2023-05-15,170.5877
2023-05-16,170.5877
